method,queries,answerable_queries,no_answer_queries,hit_at_k,recall_at_k,mrr,ndcg_at_k,map_at_k,latency_ms,no_answer_threshold_p05,no_answer_fpr,permission_leak_count,ann_recall_at_candidate_k,index_build_ms,index_size_bytes
tfidf_char_2_4,60,55,5,0.9636363636363636,0.953030303030303,0.902121212121212,0.8796796325649344,0.8432792207792208,1.914046099409461,0.13718648417593948,0.2,0,,,
bm25_mixed_tokens,60,55,5,1.0,0.9757575757575757,0.9172727272727274,0.9084008631141682,0.8684343434343433,1.0241091717034578,26.464957427978515,0.4,0,,,
bge_m3_exact,60,55,5,1.0,0.9681818181818181,1.0,0.9620289992626693,0.928961038961039,8.64973586673538,0.6382120549678802,0.0,0,1.0,0.04077702760696411,2117632
bge_m3_hnsw,60,55,5,1.0,0.9681818181818181,1.0,0.9620289992626693,0.928961038961039,8.77452241256833,0.638212013244629,0.0,0,0.995,78.89141235500574,2257822
bge_m3_ivf,60,55,5,0.9636363636363636,0.9181818181818182,0.9545454545454546,0.9143167045934304,0.8780303030303032,8.613777238254746,0.618492865562439,0.0,0,0.8920833333333335,365.01627042889595,2154739
qwen3_embedding_06b_exact,60,55,5,1.0,0.9893939393939394,0.9863636363636363,0.9730670401316711,0.9556818181818182,19.659695929537218,0.6438479781150818,0.0,0,,0.29004085808992386,2117632
bm25_bge_weighted_06_04,60,55,5,1.0,0.9893939393939394,0.990909090909091,0.9726867418099795,0.947994227994228,9.835696468750637,0.7622826422561355,0.0,0,,,
tfidf_bge_weighted_06_04,60,55,5,1.0,0.9803030303030302,0.9733333333333333,0.9509017679404164,0.9251731601731602,10.713738342747094,0.7862288310628917,0.0,0,,,
bm25_bge_rrf,60,55,5,1.0,0.9893939393939394,0.9681818181818181,0.9506720411485826,0.9227380952380952,9.82664564313988,0.031927643369175626,0.4,0,,,
tfidf_bge_rrf,60,55,5,1.0,0.9803030303030302,0.9612121212121212,0.9409420980611516,0.911590909090909,10.706885081405442,0.03169404536720111,0.4,0,,,
bm25_bge_rrf_bge_reranker,60,55,5,1.0,0.9803030303030302,0.9551515151515151,0.9471742332641526,0.9122943722943722,73.45307318804164,1.7224609375,0.0,0,,,
